team_turnovers,team_rebounds,team_offensive_rebounds,team_defensive_rebounds,bench_points,starter_points,biggest_lead,biggest_scoring_run,points,assists,rebounds,defensive_rebounds,offensive_rebounds,steals,blocks,blocks_received,turnovers,three_points_made,three_point_attempts,three_point_percentage,two_points_made,two_point_attempts,two_point_percentage,field_goals_made,field_goal_attempts,field_goal_percentage,contested_field_goals_made,contested_field_goal_attempts,uncontested_field_goals_made,uncontested_field_goal_attempts,jumpshots_made,jumpshot_attempts,dunks_made,dunk_attempts,layups_made,layup_attempts,offensive_fouls,defensive_fouls,personal_fouls,technical_fouls,unsportsmanlike_fouls,fouls_received,offensive_fouls_received,defensive_fouls_received,free_throws_made,free_throw_attempts,free_throw_percentage,fastbreak_points,fastbreak_attempts,turnover_points,points_in_the_paint,points_in_the_paint_made,points_in_the_paint_attempts,perimeter_points,perimeter_points_made,perimeter_point_attempts,second_chance_points,plus_minus,minutes_played,period,team_id,team_minutes,abbreviation,name,nickname,photo_url,home_away,game_no,schedule,venue
1,1,0,1,35,46,22,0,81,19,43,34,9,5,4,1,20,13,29,44.83,20,32,62.5,33,61,54.1,32,60,1,1,17,38,3,3,13,20,1,16,17,0,0,9,1,8,2,7,28.57,8,4,20,37,NA,NA,42,NA,NA,8,21,0,Total,87c66828-7455-4d05-92b9-a85bebc97bd8,40,FEU,FEU,Tamaraws,https://arinola.sgp1.digitaloceanspaces.com/store/12251ab95fc457b1769742a94b6a9e59.png,home,44,10/19/2019 16:00:00,Ynarez Gym
0,0,0,0,12,15,16,0,27,6,13,11,2,2,1,0,3,3,5,60,9,14,64.29,12,19,63.16,11,18,1,1,4,9,2,2,6,8,0,3,3,0,0,1,0,1,0,1,0,8,4,8,16,NA,NA,11,NA,NA,2,16,0,1,87c66828-7455-4d05-92b9-a85bebc97bd8,10,FEU,FEU,Tamaraws,https://arinola.sgp1.digitaloceanspaces.com/store/12251ab95fc457b1769742a94b6a9e59.png,home,44,10/19/2019 16:00:00,Ynarez Gym
0,0,0,0,0,13,19,0,13,2,13,9,4,1,1,1,7,2,11,18.18,3,5,60,5,16,31.25,5,16,0,0,3,13,0,0,2,3,1,2,3,0,0,1,0,1,1,1,100,0,0,0,4,NA,NA,8,NA,NA,0,-5,0,2,87c66828-7455-4d05-92b9-a85bebc97bd8,10,FEU,FEU,Tamaraws,https://arinola.sgp1.digitaloceanspaces.com/store/12251ab95fc457b1769742a94b6a9e59.png,home,44,10/19/2019 16:00:00,Ynarez Gym
1,0,0,0,8,9,21,0,17,4,9,7,2,0,1,0,7,3,6,50,4,7,57.14,7,13,53.85,7,13,0,0,4,7,1,1,2,5,0,7,7,0,0,3,1,2,0,1,0,0,0,7,11,NA,NA,6,NA,NA,2,4,0,3,87c66828-7455-4d05-92b9-a85bebc97bd8,10,FEU,FEU,Tamaraws,https://arinola.sgp1.digitaloceanspaces.com/store/12251ab95fc457b1769742a94b6a9e59.png,home,44,10/19/2019 16:00:00,Ynarez Gym
0,1,0,1,15,9,22,0,24,7,8,7,1,2,1,0,3,5,7,71.43,4,6,66.67,9,13,69.23,9,13,0,0,6,9,0,0,3,4,0,4,4,0,0,4,0,4,1,4,25,0,0,5,6,NA,NA,17,NA,NA,4,6,0,4,87c66828-7455-4d05-92b9-a85bebc97bd8,10,FEU,FEU,Tamaraws,https://arinola.sgp1.digitaloceanspaces.com/store/12251ab95fc457b1769742a94b6a9e59.png,home,44,10/19/2019 16:00:00,Ynarez Gym
0,2,1,1,16,44,0,0,60,10,40,22,18,5,1,4,13,6,22,27.27,17,49,34.69,23,71,32.39,23,71,0,0,13,48,0,0,10,23,1,8,10,1,0,17,1,16,8,18,44.44,9,3,20,24,NA,NA,28,NA,NA,16,-21,0,Total,87d50ca4-0c79-4ba3-83d5-18a06e52f061,40,DLSU,DLSU,Green Archers,https://arinola.sgp1.digitaloceanspaces.com/store/aec13e6edacd3c38c8a6c1ae6d3d23ee.png,away,44,10/19/2019 16:00:00,Ynarez Gym
0,1,0,1,2,9,0,0,11,3,8,6,2,3,0,1,4,1,5,20,3,11,27.27,4,16,25,4,16,0,0,3,11,0,0,1,5,0,1,1,0,0,3,0,3,2,3,66.67,2,1,0,4,NA,NA,5,NA,NA,3,-16,0,1,87d50ca4-0c79-4ba3-83d5-18a06e52f061,10,DLSU,DLSU,Green Archers,https://arinola.sgp1.digitaloceanspaces.com/store/aec13e6edacd3c38c8a6c1ae6d3d23ee.png,away,44,10/19/2019 16:00:00,Ynarez Gym
0,0,0,0,7,11,0,0,18,3,11,7,4,1,1,1,2,1,5,20,7,17,41.18,8,22,36.36,8,22,0,0,4,17,0,0,4,5,0,1,2,1,0,3,1,2,1,1,100,3,1,9,10,NA,NA,7,NA,NA,4,5,0,2,87d50ca4-0c79-4ba3-83d5-18a06e52f061,10,DLSU,DLSU,Green Archers,https://arinola.sgp1.digitaloceanspaces.com/store/aec13e6edacd3c38c8a6c1ae6d3d23ee.png,away,44,10/19/2019 16:00:00,Ynarez Gym
0,1,1,0,4,9,0,0,13,2,10,5,5,1,0,1,4,1,4,25,3,10,30,4,14,28.57,4,14,0,0,2,9,0,0,2,5,1,2,3,0,0,7,0,7,4,10,40,2,0,9,4,NA,NA,5,NA,NA,0,-4,0,3,87d50ca4-0c79-4ba3-83d5-18a06e52f061,10,DLSU,DLSU,Green Archers,https://arinola.sgp1.digitaloceanspaces.com/store/aec13e6edacd3c38c8a6c1ae6d3d23ee.png,away,44,10/19/2019 16:00:00,Ynarez Gym
0,0,0,0,3,15,0,0,18,2,11,4,7,0,0,1,3,3,8,37.5,4,11,36.36,7,19,36.84,7,19,0,0,4,11,0,0,3,8,0,4,4,0,0,4,0,4,1,4,25,2,1,2,6,NA,NA,11,NA,NA,9,-6,0,4,87d50ca4-0c79-4ba3-83d5-18a06e52f061,10,DLSU,DLSU,Green Archers,https://arinola.sgp1.digitaloceanspaces.com/store/aec13e6edacd3c38c8a6c1ae6d3d23ee.png,away,44,10/19/2019 16:00:00,Ynarez Gym
2,0,0,0,37,51,23,0,88,18,58,39,19,3,1,2,15,12,36,33.33,23,42,54.76,35,78,44.87,34,77,1,1,18,55,1,1,16,22,1,18,19,0,0,12,1,11,6,10,60,16,7,14,36,NA,NA,46,NA,NA,21,12,0,Total,98581eee-6023-484e-831c-c6db65f111ac,40,UST,UST,Growling Tigers,https://arinola.sgp1.digitaloceanspaces.com/store/4b045c3fbf79f9786e51a0f57b3ed732.png,home,43,10/19/2019 14:00:00,Ynarez Gym
1,0,0,0,5,12,4,0,17,3,11,7,4,1,0,0,4,3,8,37.5,4,11,36.36,7,19,36.84,7,19,0,0,5,15,0,0,2,4,1,1,2,0,0,2,0,2,0,0,0,4,2,6,4,NA,NA,13,NA,NA,2,-1,0,1,98581eee-6023-484e-831c-c6db65f111ac,10,UST,UST,Growling Tigers,https://arinola.sgp1.digitaloceanspaces.com/store/4b045c3fbf79f9786e51a0f57b3ed732.png,home,43,10/19/2019 14:00:00,Ynarez Gym
